screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
kncklsndwch,1714,1139,127,5584,9,68,0.6645,0.3081,0.1733,4813,32.67,5.8506,2557,16.641,2.9801,83.968,18.8986,1.321,0.08,0.34,0.30,0.718,1
knives_designs,456,404,80,197,263,1,0.886,0.0132,0.0439,9,0.704,1.4365,8,0.2438,0.4975,104.9975,3.9826,2.0346,0.86,0.82,0.94,0.1194,0
Knog,3376,4404,159,5639,1550,196,1.3045,0.3587,0.0507,56,1.218,0.216,219,1.259,0.2233,114.02,19.56,1.7286,0.21,0.16,0.49,0.329,0
KnowTechie,1470,19671,148,1135,360,59,13.3816,2.7633,0.0163,17,0.137,0.1207,2998,3.569,3.1445,119.072,3.3683,1.0917,0.22,0.81,0.99,0.148,0
kolossalgames,338,1559,163,2257,879,26,4.6124,15.9408,0.6479,85,6.289,2.7864,283,1.866,0.8268,108.47,38.3483,1.3068,0.35,0.09,0.54,0.555,1
koolaid5922,651,380,108,47,149,0,0.5837,0.1121,0.0707,3,0.2246,1.7872,11113,102.9572,819.2766,103.3102,27.4016,2.6395,0.39,0.07,0.65,0.2326,0
KRADeC,3013,29809,156,2945,524,267,9.8935,0.0339,0.241,32,0.62,0.2105,143693,2594.014,880.8197,116.992,13.3567,1.3186,0.11,0.04,0.20,0.772,1
krowdster,1535,244973,154,58337,17863,1919,159.5915,56.1824,0.0,25,1.503,0.0258,25,1.248,0.0214,109.758,16.3183,2.5833,0.02,0.00,1.00,0.138,0
ksboardgames,841,310,157,776,746,19,0.3686,0.8549,0.1581,52,1.729,0.6907,110,3.3484,1.3376,121.3516,26.3965,1.6351,0.48,0.09,0.59,0.6419,1
ktjgeekmom,666,187,0,95,47,1,0.2808,1.4339,0.1141,24,2.3736,4.5474,184482,1858.8736,3561.2105,89.8022,26.7828,1.46,0.27,0.49,0.25,0.6429,1
kuusevana,1223,23005,155,911,654,273,18.8103,0.1807,0.8168,1,0.001,0.0011,185,3.453,3.7903,136.285,23.9661,2.7047,0.77,0.04,0.42,0.999,1
KyTrangHo,2750,4945,86,5246,2838,128,1.7982,0.2593,0.0073,30,0.486,0.0926,108,0.33,0.0629,93.675,20.8362,1.8105,0.10,0.02,0.96,0.118,0
kzbcresiliency,101,95,155,37,126,6,0.9406,0.3465,0.0099,7,0.8526,2.1892,4,0.1579,0.4054,119.0316,7.8841,2.8378,0.78,0.34,0.72,0.0947,0
labwam,3391,13236,65,343,91,9,3.9033,0.0065,0.0852,444,1.124,3.277,311861,2296.254,6694.6181,113.919,8.0373,1.24,0.05,0.08,0.31,0.323,0
lackriver,3828,16918,73,567,190,30,4.4195,0.001,0.0347,331,2.634,4.6455,96941,482.84,851.5697,90.691,18.6478,1.2609,0.02,0.07,0.26,0.185,0
Lady_Ada_King,2757,26022,147,4846,518,247,9.4385,8.4603,0.1643,220,1.89,0.39,172601,1851.31,382.0285,101.506,18.8027,1.6757,0.07,0.18,0.28,0.522,1
ladygra_gra,2541,4576,29,298,634,3,1.8009,9.4345,0.1358,30,0.689,2.3121,862184,6832.055,22926.3591,94.875,9.494,1.345,0.37,0.17,0.14,0.378,0
LangueDeGeek,685,6322,157,4338,4907,42,9.2292,2.6745,0.4613,85,1.86,0.4288,35724,66.095,15.2363,114.121,7.7779,2.2774,0.45,0.16,0.65,0.626,1
lanzastudy,483,1111,48,151,436,1,2.3002,2.9317,1.8799,7,0.105,0.6954,391,6.106,40.4371,122.364,17.6729,1.8536,0.36,0.20,0.35,0.922,1
leansmarthome,339,3495,101,1757,2166,32,10.3097,10.7906,0.0265,8,0.261,0.1485,7,0.355,0.202,88.227,24.1949,1.3,0.01,0.00,0.99,0.287,0
leebrown_photo,3104,5094,21,486,1208,11,1.6411,1.0319,0.0255,24,0.553,1.1379,88498,395.013,812.784,80.933,17.6162,2.7027,0.11,0.08,0.39,0.133,0
Legendary_Pants,1881,723,135,224,483,5,0.3844,0.4179,0.1201,60,1.2988,4.192,9504,31.899,102.9598,106.6819,14.339,2.0945,0.42,0.18,0.59,0.5768,1
LEONR0MER,2949,3080,47,9326,1907,69,1.0444,0.8593,0.0047,85,3.692,0.3959,75,8.588,0.9209,96.471,30.8165,1.1866,0.27,0.30,0.11,0.312,0
lgbtkenobi,2455,141107,67,6938,166,316,57.4774,23.4921,0.0607,62333,74.021,10.6689,139955,555.878,80.1208,74.625,7.0013,1.3636,0.01,0.30,0.30,0.357,0
Libbyb92,3345,16526,158,442,285,8,4.9405,2.7937,0.1139,10,0.292,0.6606,450699,4860.572,10996.7692,87.485,15.7861,1.2077,0.13,0.21,0.25,0.412,0
LibrisArcana,105,574,93,3264,4719,22,5.4667,1.1143,0.5619,208,8.4472,1.3483,665,8.9597,1.4301,123.1593,20.6939,1.5174,0.33,0.06,0.66,0.5067,1
LionintheTrees,1540,14002,134,4705,261,93,9.0922,24.5545,0.1221,4833,15.056,3.2,234122,2151.87,457.3581,104.678,32.0887,1.3529,0.02,0.11,0.38,0.326,0
logygames,2725,1574,38,244,124,10,0.5776,0.2628,0.0936,91,1.375,5.6352,36301,75.154,308.0082,93.649,5.7267,1.6875,0.05,0.17,0.66,0.571,1
looseuterus,2636,14579,134,716,282,28,5.5307,6.5797,0.1286,26,1.007,1.4064,284566,1428.608,1995.2626,89.354,10.6404,1.5375,0.08,0.05,0.23,0.365,0
LosingLara,3038,11387,144,314,530,24,3.7482,1.918,0.0257,17,0.983,3.1306,373399,1360.508,4332.828,94.746,24.5339,1.875,0.22,0.07,0.64,0.199,0
LovelyStarMaker,248,24781,91,1517,960,25,99.9234,136.8589,1.7016,64,4.112,2.7106,1400,11.677,7.6974,96.222,25.9865,1.5238,0.04,0.07,0.24,0.695,1
